date,tweet_id,tweet_text,source,in_reply_to_screen_name,user_name,user_screen_name,location,user_url,n_followers,verified
2021-06-18 15:23:16,1405908984020754434,"@Francis59108531 @Santi_ABASCAL Jamás podrán blanquear a LA ETA, siempre recordaremos por aquí o donde sea sus asesinatos y atentados terroristas tan sangrientos y sadico.",Twitter for iPhone,Francis59108531,lokailo,lokailo,En la derecha de la vida ,https://twitter.com/lokailo,336,False
2021-06-18 15:21:35,1405908560094040064,@Santi_ABASCAL Para Sánchez TODO es una mercancía con la que traficar en beneficio propio,Twitter for iPhone,Santi_ABASCAL,Mdhumanes,mdhumanes,,https://twitter.com/mdhumanes,1,False
2021-06-18 15:21:20,1405908496021962765,"Sabemos que han elegido el 26 de junio para salir sin máscarilla por ser el solsticio de verano que celebra la masonería y ritual de la taurilia.

#MiVidaMiOxigeno 454

Al Pdte. del Gobierno @sanchezcastejon A los líderes de la oposición @pablocasado_ @Santi_ABASCAL @IdiazAyuso",Twitter for Android,,SpanishTaoist,SpanishTaoist,,https://twitter.com/SpanishTaoist,236,False
2021-06-18 15:21:15,1405908476522549255,@Santi_ABASCAL https://t.co/KTBLUgKJdC,Twitter for Android,Santi_ABASCAL,"CGR , Canario y Español 🇮🇨🇪🇸",CandidoGutierr9,,https://twitter.com/CandidoGutierr9,594,False
2021-06-18 15:21:12,1405908461406363661,@melasudaoficial @NunezHuesca ¿Nunca has escuchado ni a @Santi_ABASCAL ni a @Macarena_Olona ni a @sanchezdelreal o @ivanedlm ... por ejemplo?,Twitter for iPhone,melasudaoficial,Liberal Enfurruñada,MuyLiberal,,https://twitter.com/MuyLiberal,37571,True
2021-06-18 15:21:10,1405908455580372998,@Santi_ABASCAL Señor Abascal esto hay que denuciarlo https://t.co/8kaws4kQFI,Twitter for Android,Santi_ABASCAL,"CGR , Canario y Español 🇮🇨🇪🇸",CandidoGutierr9,,https://twitter.com/CandidoGutierr9,594,False
2021-06-18 15:20:45,1405908348868890630,"@Santi_ABASCAL Entre los contagiados y los que han inyectado el virus (vacunados) ahora podría haber más contagios, más peligroso ahora. Quitar la mascarilla.",Twitter for Android,Santi_ABASCAL,Nicasia Monje,NicasiaMonje,Tebaida,https://twitter.com/NicasiaMonje,2255,False
2021-06-18 15:20:22,1405908251699449858,@Santi_ABASCAL Pues Steggman no opina igual...no entiendo xq en interiores ni se plantea!! Y por supuesto la aberracion que se está consintiendo en las aulas y todos los partidos por supuesto callados.  Ahora parece que la medalla por quitar la mascarilla en exteriores se la quieren poner todos,Twitter for Android,Santi_ABASCAL,La Ruspi,LARUSPY,"Comunidad de Madrid, España",https://twitter.com/LARUSPY,135,False
2021-06-18 15:19:11,1405907955124420617,"@Sergio_Ramos_A Disculpe, Pablo Casado y @Santi_ABASCAL a cada uno lo suyo.",Twitter for Android,Sergio_Ramos_A,Antonio Garrido 🇪🇦💚💚🇮🇨,Antonio75684982,"Yaiza, España",https://twitter.com/Antonio75684982,1127,False
2021-06-18 15:18:27,1405907768662446080,@basteiro Se parece mucho a la replica de @Santi_ABASCAL en la mucion de censura a @pablocasado_  digo el discurso,Twitter for iPhone,basteiro,Rawdha,Rawdha_Be_16,"Catalunya, Espanya",https://twitter.com/Rawdha_Be_16,5,False
2021-06-18 15:17:52,1405907624269422592,@Santi_ABASCAL @Macarena_Olona https://t.co/nPK2gktrK3,Twitter for Android,Santi_ABASCAL,Randy🇪🇸,Randy130179,,https://twitter.com/Randy130179,1402,False
2021-06-18 15:17:34,1405907549287759873,@G18121278069 @IdiazAyuso @sanchezcastejon @pablocasado_ @Santi_ABASCAL Pero es la verdad 😉,Twitter for Android,G18121278069,Yane #MiVidaMiOxigeno,ayec98_2,,https://twitter.com/ayec98_2,7449,False
2021-06-18 15:17:12,1405907455184412676,"@MalaMalamente @Santi_ABASCAL @Macarena_Olona Ahora todos los vacunados portan el virus, antes eran menos anteslos que tenían el virus.",Twitter for Android,MalaMalamente,Nicasia Monje,NicasiaMonje,Tebaida,https://twitter.com/NicasiaMonje,2255,False
